"F1 2020 Telemetry of Spa - Mercedes - Time Trial - WET 0","2020-09-27 20:02:42",162.432,10,3,"v5"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FrontTyrePressure, RearTyrePressure,Ballast,FuelLoad
2.0,7.0,50.0,0.0,-2.700000047683716,10.0,0.05000000074505806,0.20000000298023224,1.0,5.0,4.0,1.0,4.0,5.0,97.0,52.0,21.0,19.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp
10,7003.0,12,0,5,8,3,20,10.0,9,13000.0,4300.0,false, 23.0, 20.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch
2.1289062,14009.3,0.033348672,0.0,0.0,224.23955,10316.0,100.0,0.0,-0.050354004,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-325.12265,-7.534915,-732.47754,-0.010209914,0.9117881,0.14759158,226.29112,226.27887,224.33589,224.32437,23.0,23.0,23.0,23.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.017872281,0.017739011,0.008040064,0.008079913,45.721157,53.72865,-5.4172387,-9.587863,1113.7075,1165.0204,-1618.3007,-1844.6835,0.0,0.0,0.0,3.0,3.0,-2.561391,0.019296272,0.030309796
5.2578125,14012.429,0.083401985,0.0,0.0,225.79718,10395.0,100.0,0.0,-0.09307861,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-326.83646,-7.4606414,-735.0927,-0.0020591142,0.86592627,-0.029424347,227.98965,228.00795,225.89986,225.90433,23.0,23.0,23.0,23.0,70.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018203923,0.01808086,0.007546445,0.0077335364,-5.566327,-7.18231,-8.415331,-2.7896805,-3892.4182,-4212.681,68.372215,184.70155,0.0,0.0,0.0,3.0,3.0,-2.5614138,0.019181194,0.03006196
9.462891,14016.634,0.1501078,0.0,0.0,227.85919,10490.0,100.0,0.0,-0.25482774,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-329.14026,-7.3635488,-738.6077,0.027853219,0.8788871,-0.044246875,230.08888,230.09329,227.93893,227.97781,23.0,23.0,23.0,23.0,70.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.01715202,0.017268341,0.007729586,0.007957102,5.090339,13.874733,5.8862395,4.7232933,443.12308,594.3292,37.374863,2.3233461,0.0,0.0,0.0,3.0,3.0,-2.5611467,0.019012282,0.029537559
12.637695,14019.809,0.20005362,0.0,0.0,229.39107,10554.0,100.0,0.0,-0.27008653,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-330.88055,-7.2912574,-741.2613,0.04217679,0.8594871,0.042863794,231.50179,231.52492,229.47035,229.52666,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.017972374,0.018221406,0.008082615,0.008355382,12.32215,15.186388,6.5489187,10.019197,-418.03467,-349.03488,-48.241337,98.60986,0.0,0.0,0.0,3.0,3.0,-2.5607564,0.019066572,0.029681087
16.90625,14024.077,0.26671356,0.0,0.0,231.3864,10644.0,100.0,0.0,-0.27008653,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-333.22165,-7.192709,-744.82776,0.058699895,0.8412329,0.02032214,233.4587,233.50124,231.46278,231.53014,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018349005,0.018641457,0.008291623,0.00872972,6.4104104,5.6926794,0.27440375,2.1680796,49.091972,8.755459,-165.88701,-189.01208,0.0,0.0,0.0,3.0,3.0,-2.5600903,0.01897219,0.029757857
20.155273,14027.326,0.31683236,0.0,0.0,232.86311,10711.0,100.0,0.0,-0.27008653,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-335.00528,-7.1172094,-747.5419,0.06734545,0.82426274,-0.010942648,234.94194,234.96819,232.943,233.01306,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018442435,0.018858667,0.008297789,0.0087299105,-1.6738031,2.339504,2.3107967,1.6220422,-255.5993,-203.07816,164.71465,139.63036,0.0,0.0,0.0,3.0,3.0,-2.5595288,0.018934881,0.029722214
24.50586,14031.677,0.3841193,0.0,0.0,234.78905,10798.0,100.0,0.0,-0.27008653,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-337.39508,-7.016789,-751.1737,0.072389804,0.8088477,-0.015870813,236.82318,236.89319,234.873,234.94514,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.01865171,0.018801522,0.00832,0.008942157,8.409037,0.61689645,4.6873264,3.1693935,141.98221,129.93904,372.50934,-40.67787,0.0,0.0,0.0,3.0,3.0,-2.5587666,0.01858454,0.02934277
27.751953,14034.923,0.43400353,0.0,0.0,236.19073,10860.0,100.0,0.0,-0.31891465,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-339.18045,-6.942284,-753.88306,0.08073356,0.79580665,-0.023696719,238.19925,238.25,236.27515,236.35153,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018783024,0.019202607,0.008435627,0.009091859,7.247745,7.0095134,-4.850791,0.18710104,401.447,-221.14035,-666.2473,-201.68927,0.0,0.0,0.0,3.0,3.0,-2.5581865,0.018236853,0.029069543
31.020508,14038.191,0.48335713,0.0,0.0,237.5659,10925.0,100.0,0.0,-0.4959166,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-340.98016,-6.8680105,-756.6103,0.105877884,0.77981937,-0.052184373,239.62573,239.64656,237.6452,237.74281,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018722741,0.019140989,0.008526505,0.009139898,-12.149111,2.2842073,7.0260663,7.5949397,-740.20874,391.20282,338.5488,471.53137,0.0,0.0,0.0,3.0,3.0,-2.5574946,0.018267961,0.02879262
31.020508,14038.191,0.48335713,0.0,0.0,237.5659,10925.0,100.0,0.0,-0.4959166,0.0,6.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-340.98016,-6.8680105,-756.6103,0.105877884,0.77981937,-0.052184373,239.62573,239.64656,237.6452,237.74281,23.0,23.0,23.0,23.0,71.0,70.0,71.0,70.0,0.0,0.0,0.0,0.0,0.018722741,0.019140989,0.008526505,0.009139898,-12.149111,2.2842073,7.0260663,7.5949397,-740.20874,391.20282,338.5488,471.53137,0.0,0.0,0.0,3.0,3.0,-2.5574946,0.018267961,0.02879262
