"F1 2020 Telemetry of Spa - Mercedes - Time Trial - WET 0","2020-09-27 20:06:43",121.197,10,5,"v5"
FWing, RWing, OnThrottle, OffThrottle, FrontCamber, RearCamber ,FrontToe, RearToe, FrontSusp, RearSusp, FrontAntiRoll, RearAntiRoll,FrontSuspH, RearSuspH, BrakePressure, BrakeBias, FrontTyrePressure, RearTyrePressure,Ballast,FuelLoad
2.0,7.0,50.0,0.0,-2.700000047683716,10.0,0.05000000074505806,0.20000000298023224,1.0,5.0,4.0,1.0,4.0,5.0,97.0,52.0,21.0,19.5,6.0,0.0,
TrackID, Tracklen, EventID, TeamID, WeatherID, TyreID, Lap, LapsInRace, Fuel at Start, MaxGears, MaxRevs, IdleRevs, Online, RoadTemp, AmbientTemp
10,7003.0,12,0,5,8,5,20,10.0,9,13000.0,4300.0,false, 23.0, 20.0
LapDistance,Distance,LapTime,Sector1Time,Sector2Time,Speed,EngineRevs,ThrottlePercentage,BrakePercentage,Steer,Clutch,Gear,DRS,CanUseDRS,KERSLevel,EngineTemperature,RacePosition,Sector,nPits,FuelRemaining,CurrentFlag,CurrentLapInvalid,X,Y,Z,GForceLatitudinal,GForceLongitudinal,GForceVertical,WheelSpeedRearLeft,WheelSpeedRearRight,WheelSpeedFrontLeft,WheelSpeedFrontRight,BrakeTemperatureRearLeft,BrakeTemperatureRearRight,BrakeTemperatureFrontLeft,BrakeTemperatureFrontRight,TyreTemperatureRearLeft,TyreTemperatureRearRight,TyreTemperatureFrontLeft,TyreTemperatureFrontRight,TyreWearRearLeft,TyreWearRearRight,TyreWearFrontLeft,TyreWearFrontRight,SuspensionPositionRearLeft,SuspensionPositionRearRight,SuspensionPositionFrontLeft,SuspensionPositionFrontRight,SuspensionVelocityRearLeft,SuspensionVelocityRearRight,SuspensionVelocityFrontLeft,SuspensionVelocityFrontRight,SuspensionAccelerationRearLeft,SuspensionAccelerationRearRight,SuspensionAccelerationFrontLeft,SuspensionAccelerationFrontRight,MGUKHarvested,MGUHHarvested,ERSSpent,ERSMode,FuelMixMode,Yaw,Roll,Pitch
1.6367188,28015.979,0.0175637,0.0,0.0,218.75313,8809.0,100.0,0.0,0.31280518,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-327.7723,-7.4775553,-730.16785,-0.09101409,0.79586565,0.17926979,220.4595,220.38445,218.87997,218.79808,23.0,23.0,23.0,23.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.016730862,0.016318725,0.0081851315,0.0077767908,41.352703,58.30782,-1.1367757,5.7191725,2143.3237,3143.035,-4441.9775,-3416.9705,0.0,0.0,0.0,3.0,3.0,-2.5453103,0.018925322,0.0302279
4.7089844,28019.05,0.06795217,0.0,0.0,220.11887,8871.0,100.0,0.0,0.4135251,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-329.4967,-7.403445,-732.71,-0.09657054,0.74422973,-0.044266574,222.0001,221.9423,220.27263,220.1781,23.0,23.0,23.0,23.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.017923051,0.017174397,0.0075434507,0.007157598,-33.20335,-32.507816,-1.0858694,5.950051,-8647.85,-6517.9053,836.774,1567.1388,0.0,0.0,0.0,3.0,3.0,-2.546048,0.018693104,0.029672861
8.8046875,28023.146,0.13465415,0.0,0.0,221.93167,8942.0,100.0,0.0,0.25482178,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-331.79205,-7.308303,-736.1002,-0.084843524,0.76836866,-0.04287022,223.77678,223.71928,222.0727,221.98811,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.01653094,0.015981376,0.007394389,0.0071025887,12.420538,16.826838,6.183024,3.7110536,127.93002,185.9244,538.70746,497.29922,0.0,0.0,0.0,3.0,3.0,-2.547045,0.018455256,0.029108286
11.894531,28026.236,0.1846297,0.0,0.0,223.27946,8994.0,100.0,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-333.52222,-7.238111,-738.65985,-0.080494516,0.7629255,0.05230222,225.0756,225.0284,223.41797,223.34506,23.0,23.0,23.0,23.0,71.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.017164208,0.016705545,0.007966856,0.007646712,17.266932,19.168407,8.063547,9.406188,234.9922,295.68494,-298.78168,-175.50244,0.0,0.0,0.0,3.0,3.0,-2.5476866,0.018423045,0.029127121
16.046875,28030.389,0.2513105,0.0,0.0,225.05681,9066.0,100.0,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-335.84363,-7.1421895,-742.0997,-0.073929995,0.7528473,0.012047434,226.85555,226.84007,225.19365,225.12828,23.0,23.0,23.0,23.0,71.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.017794924,0.01707381,0.0080692135,0.008007757,4.1868815,0.5364844,-1.013875,1.0870016,-164.48436,66.43216,-169.01608,-235.91466,0.0,0.0,0.0,3.0,3.0,-2.548455,0.01794805,0.02887404
19.18164,28033.523,0.3013396,0.0,0.0,226.37807,9119.0,100.0,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-337.59564,-7.06953,-744.69946,-0.07009585,0.74589247,-0.023095468,228.22061,228.17017,226.51947,226.4542,23.0,23.0,23.0,23.0,71.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.017667007,0.01727037,0.00809612,0.007816918,-5.257261,3.9495494,3.7821121,-1.0383685,-116.18293,-3.92344,231.69865,212.67406,0.0,0.0,0.0,3.0,3.0,-2.548987,0.017738162,0.028621912
23.392578,28037.734,0.3680181,0.0,0.0,228.12883,9189.0,100.0,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-339.94586,-6.972818,-748.19196,-0.06847342,0.7401545,-0.006008912,229.94228,229.92096,228.27264,228.2099,23.0,23.0,23.0,23.0,70.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.017903049,0.017432824,0.008175536,0.008067591,9.338808,3.9406257,0.36849746,4.550577,163.30695,-123.06689,151.6378,-3.94832,0.0,0.0,0.0,3.0,3.0,-2.549685,0.01760246,0.028466582
26.572266,28040.914,0.41802302,0.0,0.0,229.42995,9241.0,100.0,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-341.71924,-6.90014,-750.83075,-0.067516014,0.7351907,-0.01543695,231.26091,231.22482,229.57579,229.51259,23.0,23.0,23.0,23.0,70.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.018052474,0.017570818,0.008335498,0.008198153,0.958141,4.8196015,3.849634,1.9751338,8.673034,164.02423,42.73637,-17.685068,0.0,0.0,0.0,3.0,3.0,-2.5502038,0.01735501,0.028182387
29.767578,28044.11,0.46805012,0.0,0.0,230.71747,9291.0,99.218735,0.0,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-343.49963,-6.8273406,-753.4828,-0.066886514,0.72262365,0.001681013,232.51709,232.47043,230.86667,230.80396,23.0,23.0,23.0,23.0,70.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.018260313,0.017887466,0.008578953,0.008294166,4.2899632,7.4852996,3.0462515,3.2179754,-28.10631,253.15324,-169.33261,111.69189,0.0,0.0,0.0,3.0,3.0,-2.5507207,0.017280977,0.028146029
32.98047,28047.322,0.51806027,0.0,0.0,231.73967,9316.0,95.70306,12.14267,0.23040771,0.0,7.0,0.0,0.0,4000000.0,90.0,1.0,0.0,0.0,10.0,0.0,0.0,-345.28824,-6.754133,-756.14996,-0.06700946,0.33452463,-0.034880277,233.1382,233.08928,231.59566,231.53055,23.0,23.0,23.0,23.0,70.0,71.0,70.0,71.0,0.0,0.0,0.0,0.0,0.018429609,0.018125385,0.008620361,0.008353072,0.06312296,-0.4747652,-2.4408102,-2.7056131,-313.93726,-380.44775,-321.47116,-323.01917,0.0,0.0,0.0,3.0,3.0,-2.5512323,0.017275557,0.028045058
