###################################################
## File containing the tracks for AMS2
## This file gets read by the tool at the start and 
## gets updated if there is an unknown track.
##
## IF you edit this file, be careful
##
## For your personal use, you could update the pitstop values
## Also for personal use, adjust the typical fast lap 
## (this is used to estimate laps in timed race ...)
##
## Comment/Info line start with ##
## 
## FORMAT IS
## id, length, ui name, location, variation, alt_location, alt_variation, pistoplen, typicalfastlap
## 
###################################################
1,3228.1985,"Adelaide Modern","Adelaide","Modern","Adelaide","Modern",30.0,60.0
2,3760.666,"Adelaide Historic","Adelaide","Historic","Adelaide","Historic",30.0,80.0
3,3326.9785,"Azure Circuit","Azure_Circuit","Azure_Circuit","Azure_Circuit","Azure_Circuit",30.0,65.0
4,3893.9395,"BrandsHatch GrandPrix","BrandsHatch","GrandPrix","Brands_Hatch","GrandPrix",30.0,75.0
5,1932.8221,"BrandsHatch Indy","BrandsHatch","Indy","Brands_Hatch","Indy",30.0,35.0
6,3490.2634,"Cadwell Park","CadwellPark","CadwellPark","Cadwell_Park","Cadwell_Park",30.0,80.0
7,3484.123,"Campo Grande","CampoGrande","CampoGrande","Campo_Grande","Campo_Grande",30.0,70.0
8,3030.514,"Cascavel","Cascavel4","Cascavel5","Cascavel","Cascavel5",20.0,50.0
9,3650.0244,"Curitiba Internacional","Curitiba","CuritibaInternacional","Curitiba","Curitiba",30.0,65.0
10,2519.9343,"Curitiba Outer","Curitiba","Curitiba_outer","Curitiba","Curitiba_Outer",30.0,45.0
11,4391.32,"Curvelo Long","Curvelo","CurveloLong","Curvelo","Curvelo_Long",30.0,90.0
12,3282.7715,"Curvelo Short","Curvelo","CurveloShort","Curvelo","Curvelo_Short",30.0,65.0
13,3985.2852,"Donington GP","Donington","Donington_GP","Donington_Park","Donington_GP",30.0,90.0
14,3182.2563,"Donington National","Donington","Donington_Nat","Donington_Park","Donington_National",30.0,60.0
15,3843.1777,"Goiania Mixed","Goiania","GoianiaMixed","Goiânia","Goiânia",30.0,70.0
16,1914.7273,"Goiania Short","Goiania","GoianiaShort","Goiânia","Goiânia_Short",30.0,45.0
17,2708.4438,"Goiania Outer","Goiania","GoianiaOuter","Goiânia","Goiânia_External",30.0,35.0
18,3037.4172,"Guapore","Guapore","Guapore","Guapore","Guapore",30.0,65.0
19,3596.22,"Ibarra","Ibarra4","Ibarra5","Ibarra","Ibarra5",30.0,100.0
20,4909.0425,"Imola 2018","ImolaAMS2","Imola_GP_2018","Imola","Imola",30.0,90.0
21,4912.52,"Imola 2001","ImolaAMS2","Imola_GP_2001","Imola","Imola_Historic_2001",30.0,90.0
22,4965.6704,"Imola 1988","ImolaAMS2","Imola_GP_1988","Imola","Imola_Historic_1988",30.0,90.0
23,4952.014,"Imola 1972","ImolaAMS2","Imola_GP_1972","Imola","Imola_Historic_1972",30.0,90.0
24,4294.9478,"Interlagos GP","Interlagos","GP","Interlagos","Grand_Prix",30.0,65.0
25,7926.649,"Interlagos Historic","Interlagos","Historic","Interlagos","Historic",30.0,140.0
